system,hardware,profile,stage,stage_name,required_optional,intended_targets,actual_targets,intended_backend,actual_backend,workers_intended,workers_actual,isa_intended,isa_actual,utilization_pressure_expectation,measured_utilization_pressure,allocation_expectation,achieved_allocation,verification_expectation,verification_achieved,intended_duration_seconds,actual_sustained_duration_seconds,lvs_reported_verdict,independent_acceptance_status,confidence,issue_root_cause,rerun_required,notes_evidence_paths
Core i7-10750H / Intel UHD / GTX 1660 Ti,NVIDIA GeForce GTX 1660 Ti [discrete] 0000:01:00.0; Intel(R) UHD Graphics (CML GT2) [integrated] 0000:00:02.0,x86_64 Integrated and Discrete GPU Acceptance Rerun,x86_id_acceptance_ram_igpu,Combined RAM and iGPU Shared Memory,required,integrated_all,Intel(R) UHD Graphics (CML GT2),memory:native; gpu_3d:vulkan_compute,python_vulkan_compute,one per selected GPU / one memory worker as configured,2,N/A,N/A,sustained assigned memory/GPU pressure and verified progress,"memory used median=29.95 GiB, max=30.03 GiB",memory=70%; gpu_3d=70%,gpu assigned=11999206918 achieved=11999210496 ratio=1.0,durable backend-specific verification/readback/integrity evidence,Intel(R) UHD Graphics (CML GT2):passes=142 failures=0,600,601.525987205001,pass,VALIDATED,High,"Correct physical target/backend, sustained progress, positive verification, and required concurrency/allocation",No,results/2026-08-13_14-04-49_x86_64 Integrated and Discrete GPU Acceptance Rerun/run_manifest.json; profile_used.json; system_info.json; raw_telemetry.csv; worker_results/; worker_logs/; advanced_debug/
Core i7-10750H / Intel UHD / GTX 1660 Ti,NVIDIA GeForce GTX 1660 Ti [discrete] 0000:01:00.0; Intel(R) UHD Graphics (CML GT2) [integrated] 0000:00:02.0,x86_64 Integrated and Discrete GPU Acceptance Rerun,x86_id_acceptance_ram_dgpu,Combined RAM and dGPU Dedicated Memory,required,discrete_all,NVIDIA GeForce GTX 1660 Ti,memory:native; vram:vulkan,python_vulkan_compute,one per selected GPU / one memory worker as configured,2,N/A,N/A,sustained assigned memory/GPU pressure and verified progress,"memory used median=28.80 GiB, max=28.85 GiB",memory=80%; vram=90%,gpu assigned=5798205849 achieved=5798209536 ratio=1.0,durable backend-specific verification/readback/integrity evidence,NVIDIA GeForce GTX 1660 Ti:passes=2220 failures=0,600,602.1544465480038,pass,VALIDATED,High,"Correct physical target/backend, sustained progress, positive verification, and required concurrency/allocation",No,results/2026-08-13_14-04-49_x86_64 Integrated and Discrete GPU Acceptance Rerun/run_manifest.json; profile_used.json; system_info.json; raw_telemetry.csv; worker_results/; worker_logs/; advanced_debug/
Core i7-10750H / Intel UHD / GTX 1660 Ti,NVIDIA GeForce GTX 1660 Ti [discrete] 0000:01:00.0; Intel(R) UHD Graphics (CML GT2) [integrated] 0000:00:02.0,x86_64 Integrated and Discrete GPU Acceptance Rerun,x86_id_acceptance_igpu_dgpu,Combined iGPU and dGPU Compute,required,all,NVIDIA GeForce GTX 1660 Ti; Intel(R) UHD Graphics (CML GT2),gpu_3d:vulkan_compute,python_vulkan_compute,one per selected GPU / one memory worker as configured,2,N/A,N/A,sustained assigned memory/GPU pressure and verified progress,worker/GPU telemetry; see worker evidence,N/A,gpu assigned=228167680 achieved=228171776 ratio=1.0; gpu assigned=50331648 achieved=50335744 ratio=1.0,durable backend-specific verification/readback/integrity evidence,NVIDIA GeForce GTX 1660 Ti:passes=2791 failures=0 | Intel(R) UHD Graphics (CML GT2):passes=1061 failures=0,600,600.517815610001,pass,VALIDATED,High,"Correct physical target/backend, sustained progress, positive verification, and required concurrency/allocation",No,results/2026-08-13_14-04-49_x86_64 Integrated and Discrete GPU Acceptance Rerun/run_manifest.json; profile_used.json; system_info.json; raw_telemetry.csv; worker_results/; worker_logs/; advanced_debug/
Core i7-10750H / Intel UHD / GTX 1660 Ti,NVIDIA GeForce GTX 1660 Ti [discrete] 0000:01:00.0; Intel(R) UHD Graphics (CML GT2) [integrated] 0000:00:02.0,x86_64 Integrated and Discrete GPU Acceptance Rerun,x86_id_acceptance_ram_all_gpu_memory,Combined RAM iGPU and dGPU Memory,required,all,NVIDIA GeForce GTX 1660 Ti; Intel(R) UHD Graphics (CML GT2),memory:native; vram:vulkan,python_vulkan_compute,one per selected GPU / one memory worker as configured,3,N/A,N/A,sustained assigned memory/GPU pressure and verified progress,"memory used median=30.15 GiB, max=30.24 GiB",memory=70%; vram=70%,gpu assigned=4509715660 achieved=4509719552 ratio=1.0; gpu assigned=12110079896 achieved=12110083072 ratio=1.0,durable backend-specific verification/readback/integrity evidence,NVIDIA GeForce GTX 1660 Ti:passes=2393 failures=0 | Intel(R) UHD Graphics (CML GT2):passes=141 failures=0,600,602.043674872999,warning,VALIDATED WITH EXPLAINED WARNING,High,Complete verified concurrency; runtime-guard/thermal warning did not reach emergency or invalidate allocation,No,results/2026-08-13_14-04-49_x86_64 Integrated and Discrete GPU Acceptance Rerun/run_manifest.json; profile_used.json; system_info.json; raw_telemetry.csv; worker_results/; worker_logs/; advanced_debug/
Core i7-10750H / Intel UHD / GTX 1660 Ti,NVIDIA GeForce GTX 1660 Ti [discrete] 0000:01:00.0; Intel(R) UHD Graphics (CML GT2) [integrated] 0000:00:02.0,x86_64 Integrated and Discrete GPU Acceptance Rerun,x86_id_acceptance_full,Combined Full CPU RAM iGPU and dGPU,required,all+all,"CPU 0,1,2,3,4,5,6,7,8,9,10,11; NVIDIA GeForce GTX 1660 Ti; Intel(R) UHD Graphics (CML GT2)",cpu:native; memory:native; gpu_3d:vulkan_compute; vram:vulkan,python_vulkan_compute,12,4,auto,resolved common-safe/native evidence in manifest,near-full target CPU saturation,"aggregate median=100.00%, p10=100.00%, min=100.00%, lowest logical median=100.00%",memory=70%; vram=70%,gpu assigned=4509715660 achieved=4509719552 ratio=1.0; gpu assigned=12116999553 achieved=12117003264 ratio=1.0,durable backend-specific verification/readback/integrity evidence,NVIDIA GeForce GTX 1660 Ti:passes=1975 failures=0 | Intel(R) UHD Graphics (CML GT2):passes=172 failures=0,600,601.1479424300051,warning,VALIDATED WITH EXPLAINED WARNING,High,Complete verified concurrency; runtime-guard/thermal warning did not reach emergency or invalidate allocation,No,results/2026-08-13_14-04-49_x86_64 Integrated and Discrete GPU Acceptance Rerun/run_manifest.json; profile_used.json; system_info.json; raw_telemetry.csv; worker_results/; worker_logs/; advanced_debug/
Ryzen 7 5700G / Radeon Renoir / RTX 5090,NVIDIA GeForce RTX 5090 [discrete] 0000:01:00.0; AMD Radeon Graphics [integrated] 0000:07:00.0,x86_64 Integrated and Discrete GPU Acceptance Rerun,x86_id_acceptance_cpu_stress_ng,CPU stress-ng Verified Saturation,required,logical CPU set,"CPU 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",cpu:stress_ng,stress_ng,16,1,auto,resolved common-safe/native evidence in manifest,near-full target CPU saturation,"aggregate median=100.00%, p10=100.00%, min=99.91%, lowest logical median=100.00%",N/A,N/A,durable backend-specific verification/readback/integrity evidence,"stress_ng:passed=16 failed=0 metrics=[{'bogo_ops': 6748761, 'bogo_ops_per_second_cpu': 715.29, 'bogo_ops_per_second_real': 11248.05, 'real_time_seconds': 599.99, 'stressor': 'cpu', 'system_time_seconds': 3.13, 'user_time_seconds': 9431.92}]",600,600.0921285449999,pass,VALIDATED,High,"Verified worker progress, complete affinity/worker counts, and near-full measured CPU saturation",No,results/2026-08-13_14-07-11_x86_64 Integrated and Discrete GPU Acceptance Rerun/run_manifest.json; profile_used.json; system_info.json; raw_telemetry.csv; worker_results/; worker_logs/; advanced_debug/
Ryzen 7 5700G / Radeon Renoir / RTX 5090,NVIDIA GeForce RTX 5090 [discrete] 0000:01:00.0; AMD Radeon Graphics [integrated] 0000:07:00.0,x86_64 Integrated and Discrete GPU Acceptance Rerun,x86_id_acceptance_cpu_python,CPU Python Verified Saturation,required,logical CPU set,"CPU 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",cpu:python_fallback,python_fallback,16,1,auto,resolved common-safe/native evidence in manifest,near-full target CPU saturation,"aggregate median=100.00%, p10=100.00%, min=100.00%, lowest logical median=100.00%",N/A,N/A,durable backend-specific verification/readback/integrity evidence,python_fallback:passes=108573 failures=0,600,601.3541011640002,pass,VALIDATED,High,"Verified worker progress, complete affinity/worker counts, and near-full measured CPU saturation",No,results/2026-08-13_14-07-11_x86_64 Integrated and Discrete GPU Acceptance Rerun/run_manifest.json; profile_used.json; system_info.json; raw_telemetry.csv; worker_results/; worker_logs/; advanced_debug/
Ryzen 7 5700G / Radeon Renoir / RTX 5090,NVIDIA GeForce RTX 5090 [discrete] 0000:01:00.0; AMD Radeon Graphics [integrated] 0000:07:00.0,x86_64 Integrated and Discrete GPU Acceptance Rerun,x86_id_acceptance_ram_stress_ng,RAM stress-ng Verification Evidence,required,system RAM,none recorded,memory:stress_ng,none recorded,one per selected GPU / one memory worker as configured,0,N/A,N/A,sustained assigned memory/GPU pressure and verified progress,"memory used median=28.81 GiB, max=28.86 GiB",memory=80%,N/A,durable backend-specific verification/readback/integrity evidence,none,600,605.146494266,pass,UNPROVEN DUE TO INSUFFICIENT EVIDENCE,High,Pressure was real but stress-ng was killed before final verified metrics were ingested,Yes,results/2026-08-13_14-07-11_x86_64 Integrated and Discrete GPU Acceptance Rerun/run_manifest.json; profile_used.json; system_info.json; raw_telemetry.csv; worker_results/; worker_logs/; advanced_debug/
Ryzen 7 5700G / Radeon Renoir / RTX 5090,NVIDIA GeForce RTX 5090 [discrete] 0000:01:00.0; AMD Radeon Graphics [integrated] 0000:07:00.0,x86_64 Integrated and Discrete GPU Acceptance Rerun,x86_id_acceptance_ram_python,RAM Python Integrity Evidence,required,system RAM,none recorded,memory:python_fallback,python_fallback,one per selected GPU / one memory worker as configured,1,N/A,N/A,sustained assigned memory/GPU pressure and verified progress,"memory used median=4.20 GiB, max=4.27 GiB",memory=80%,memory assigned=2261966848 achieved=2261966848 ratio=1.0,durable backend-specific verification/readback/integrity evidence,python_fallback:passes=16 failures=552238,600,600.1588721929998,fail,FAILED,High,Deterministic false mismatch when rewrite pattern reached byte value zero,Yes,results/2026-08-13_14-07-11_x86_64 Integrated and Discrete GPU Acceptance Rerun/run_manifest.json; profile_used.json; system_info.json; raw_telemetry.csv; worker_results/; worker_logs/; advanced_debug/
Ryzen 7 5700G / Radeon Renoir / RTX 5090,NVIDIA GeForce RTX 5090 [discrete] 0000:01:00.0; AMD Radeon Graphics [integrated] 0000:07:00.0,x86_64 Integrated and Discrete GPU Acceptance Rerun,x86_id_acceptance_igpu_compute,Integrated GPU Vulkan Compute,required,integrated_all,none recorded,gpu_3d:vulkan_compute,none recorded,one per selected GPU / one memory worker as configured,0,N/A,N/A,sustained assigned memory/GPU pressure and verified progress,worker/GPU telemetry; see worker evidence,N/A,N/A,durable backend-specific verification/readback/integrity evidence,none,600,0,skip,UNEXPECTED SKIP / LVS DEFECT,High,"Vulkan exposed a real AMD integrated GPU, but DRM-only class selection matched no integrated target",Yes for unexecuted transfer/stateful/concurrency,results/2026-08-13_14-07-11_x86_64 Integrated and Discrete GPU Acceptance Rerun/run_manifest.json; profile_used.json; system_info.json; raw_telemetry.csv; worker_results/; worker_logs/; advanced_debug/
Ryzen 7 5700G / Radeon Renoir / RTX 5090,NVIDIA GeForce RTX 5090 [discrete] 0000:01:00.0; AMD Radeon Graphics [integrated] 0000:07:00.0,x86_64 Integrated and Discrete GPU Acceptance Rerun,x86_id_acceptance_igpu_transfer,Integrated GPU Vulkan Transfer,required,integrated_all,none recorded,gpu_3d:vulkan,none recorded,one per selected GPU / one memory worker as configured,0,N/A,N/A,sustained assigned memory/GPU pressure and verified progress,worker/GPU telemetry; see worker evidence,N/A,N/A,durable backend-specific verification/readback/integrity evidence,none,600,0,skip,UNEXPECTED SKIP / LVS DEFECT,High,"Vulkan exposed a real AMD integrated GPU, but DRM-only class selection matched no integrated target",Yes for unexecuted transfer/stateful/concurrency,results/2026-08-13_14-07-11_x86_64 Integrated and Discrete GPU Acceptance Rerun/run_manifest.json; profile_used.json; system_info.json; raw_telemetry.csv; worker_results/; worker_logs/; advanced_debug/
Ryzen 7 5700G / Radeon Renoir / RTX 5090,NVIDIA GeForce RTX 5090 [discrete] 0000:01:00.0; AMD Radeon Graphics [integrated] 0000:07:00.0,x86_64 Integrated and Discrete GPU Acceptance Rerun,x86_id_acceptance_igpu_stateful,Integrated GPU Vulkan Stateful Shared Memory,required,integrated_all,none recorded,gpu_3d:vulkan_compute,none recorded,one per selected GPU / one memory worker as configured,0,N/A,N/A,sustained assigned memory/GPU pressure and verified progress,worker/GPU telemetry; see worker evidence,gpu_3d=80%,N/A,durable backend-specific verification/readback/integrity evidence,none,600,0,skip,UNEXPECTED SKIP / LVS DEFECT,High,"Vulkan exposed a real AMD integrated GPU, but DRM-only class selection matched no integrated target",Yes for unexecuted transfer/stateful/concurrency,results/2026-08-13_14-07-11_x86_64 Integrated and Discrete GPU Acceptance Rerun/run_manifest.json; profile_used.json; system_info.json; raw_telemetry.csv; worker_results/; worker_logs/; advanced_debug/
Ryzen 7 5700G / Radeon Renoir / RTX 5090,NVIDIA GeForce RTX 5090 [discrete] 0000:01:00.0; AMD Radeon Graphics [integrated] 0000:07:00.0,x86_64 Integrated and Discrete GPU Acceptance Rerun,x86_id_acceptance_dgpu_compute,Discrete GPU Vulkan Compute,required,discrete_all,NVIDIA GeForce RTX 5090,gpu_3d:vulkan_compute,python_vulkan_compute,one per selected GPU / one memory worker as configured,1,N/A,N/A,sustained assigned memory/GPU pressure and verified progress,worker/GPU telemetry; see worker evidence,N/A,gpu assigned=1073741824 achieved=1073745920 ratio=1.0,durable backend-specific verification/readback/integrity evidence,NVIDIA GeForce RTX 5090:passes=3151 failures=0,600,600.1941302200003,pass,VALIDATED,High,"Correct physical target/backend, sustained progress, positive verification, and required concurrency/allocation",No,results/2026-08-13_14-07-11_x86_64 Integrated and Discrete GPU Acceptance Rerun/run_manifest.json; profile_used.json; system_info.json; raw_telemetry.csv; worker_results/; worker_logs/; advanced_debug/
Ryzen 7 5700G / Radeon Renoir / RTX 5090,NVIDIA GeForce RTX 5090 [discrete] 0000:01:00.0; AMD Radeon Graphics [integrated] 0000:07:00.0,x86_64 Integrated and Discrete GPU Acceptance Rerun,x86_id_acceptance_dgpu_transfer,Discrete GPU Vulkan Transfer,required,discrete_all,NVIDIA GeForce RTX 5090,gpu_3d:vulkan,python_vulkan_transfer,one per selected GPU / one memory worker as configured,1,N/A,N/A,sustained assigned memory/GPU pressure and verified progress,worker/GPU telemetry; see worker evidence,N/A,gpu assigned=402653184 achieved=805306368 ratio=1.0,durable backend-specific verification/readback/integrity evidence,NVIDIA GeForce RTX 5090:passes=6472 failures=0,600,600.435653558,pass,VALIDATED,High,"Correct physical target/backend, sustained progress, positive verification, and required concurrency/allocation",No,results/2026-08-13_14-07-11_x86_64 Integrated and Discrete GPU Acceptance Rerun/run_manifest.json; profile_used.json; system_info.json; raw_telemetry.csv; worker_results/; worker_logs/; advanced_debug/
Ryzen 7 5700G / Radeon Renoir / RTX 5090,NVIDIA GeForce RTX 5090 [discrete] 0000:01:00.0; AMD Radeon Graphics [integrated] 0000:07:00.0,x86_64 Integrated and Discrete GPU Acceptance Rerun,x86_id_acceptance_dgpu_stateful,Discrete GPU Vulkan Stateful Dedicated Memory,required,discrete_all,NVIDIA GeForce RTX 5090,gpu_3d:vulkan_compute,python_vulkan_compute,one per selected GPU / one memory worker as configured,1,N/A,N/A,sustained assigned memory/GPU pressure and verified progress,worker/GPU telemetry; see worker evidence,gpu_3d=90%,gpu assigned=30771822592 achieved=30771826688 ratio=1.0,durable backend-specific verification/readback/integrity evidence,NVIDIA GeForce RTX 5090:passes=4240 failures=0,600,601.1005577650003,pass,VALIDATED,High,"Correct physical target/backend, sustained progress, positive verification, and required concurrency/allocation",No,results/2026-08-13_14-07-11_x86_64 Integrated and Discrete GPU Acceptance Rerun/run_manifest.json; profile_used.json; system_info.json; raw_telemetry.csv; worker_results/; worker_logs/; advanced_debug/
Ryzen 7 5700G / Radeon Renoir / RTX 5090,NVIDIA GeForce RTX 5090 [discrete] 0000:01:00.0; AMD Radeon Graphics [integrated] 0000:07:00.0,x86_64 Integrated and Discrete GPU Acceptance Rerun,x86_id_acceptance_ram_igpu,Combined RAM and iGPU Shared Memory,required,integrated_all,none recorded,memory:native; gpu_3d:vulkan_compute,none recorded,one per selected GPU / one memory worker as configured,0,N/A,N/A,sustained assigned memory/GPU pressure and verified progress,"memory used median= GiB, max= GiB",memory=70%; gpu_3d=70%,N/A,durable backend-specific verification/readback/integrity evidence,none,600,0,skip,UNEXPECTED SKIP / LVS DEFECT,High,"Vulkan exposed a real AMD integrated GPU, but DRM-only class selection matched no integrated target",Yes for unexecuted transfer/stateful/concurrency,results/2026-08-13_14-07-11_x86_64 Integrated and Discrete GPU Acceptance Rerun/run_manifest.json; profile_used.json; system_info.json; raw_telemetry.csv; worker_results/; worker_logs/; advanced_debug/
