"system","cpu","gpus","profile","stage","required_optional","intended_target","actual_target","intended_backend","actual_backend","intended_workers","actual_workers","intended_isa","actual_isa","intended_utilization_pressure","measured_utilization_pressure","requested_allocation","assigned_allocation","achieved_allocation","allocation_ratio","verification_mechanism","verification_passes","verification_failures","intended_duration_seconds","sustained_duration_seconds","reported_lvs_status","independent_acceptance_status","issue_root_cause","confidence","rerun_required","notes_evidence_paths"
"Ryzen 7 5700G tower","AMD Ryzen 7 5700G; 8P/16L SMT","Radeon Renoir; RTX 5090","x86_64 APU Shared-GPU Remediation","Combined RAM and All GPU Memory","required","RAM + Renoir shared + RTX dedicated","RAM; Renoir 0000:07:00.0; RTX 0000:01:00.0","native RAM + Vulkan stateful all","memory_native_helper + 2 python_vulkan_compute","3; 16 RAM threads","3; 16 RAM threads","auto","native auto","simultaneous RAM/shared/dedicated pressure","memory median/max 29.80/29.85 GiB; min MemAvailable 917155840; no emergency; overlap >=579.074 s","RAM 23080684748; shared 7944102297; RTX 23933642342","RAM 20448255178; shared 7033713462; RTX 23933642342","RAM 20448256000; shared 7033716736; RTX 23933645824","100% assigned","4 RAM patterns + per-GPU readback","RAM 3694; GPUs 233+1446","0","600","579.074","warning","VALIDATED WITH EXPLAINED WARNING","Legitimate safety warning below 1 GiB; no emergency or verification loss","High","No","results/2026-08-14_09-59-17_x86_64 APU Shared-GPU Remediation/{run_manifest.json,worker_results/x86_apu_shared_ram_all_*}"
"Ryzen 7 5700G tower","AMD Ryzen 7 5700G; 8P/16L SMT","Radeon Renoir; RTX 5090","x86_64 APU Shared-GPU Remediation","Full CPU RAM and All-GPU Mixed Load","required","all CPUs + RAM + Renoir shared stateful + RTX stateful","CPUs/RAM; Renoir compute-only 50335744; RTX stateful 23933645824","native CPU+RAM; fused Vulkan stateful all GPUs","native CPU+RAM; Renoir stress_hash; RTX stateful","4 expected after fusion but every GPU stateful","4; integrated worker wrong variant/allocation","auto","sse / sse2_int","full simultaneous CPU/RAM/all-GPU compute+memory pressure","CPU 100%; RAM 23080685568 with 4435 passes; Renoir busy 78/77%; overlap >=579 s","RAM 23080684748; Renoir stateful 7944102297; RTX 23933642342","RAM 23080684748; Renoir compute 50331648; RTX 23933642342","RAM 23080685568; Renoir compute 50335744; RTX 23933645824","Renoir only 0.63% of required stateful intent","CPU canary; RAM patterns; GPU compute/readback","CPU 8271973; RAM 4435; Renoir 2974; RTX positive","0","600","579+","pass","PARTIALLY EXECUTED, NOT VALIDATED","Legacy small carved-out VRAM concurrent skip omitted AMD integrated stateful worker; saved PASS inaccurate","High","Yes: one 600 s minimal full stage","results/2026-08-14_09-59-17_x86_64 APU Shared-GPU Remediation/{run_manifest.json,worker_results/x86_apu_shared_full_*}"
"Core Ultra 9 285K tower","Intel Core Ultra 9 285K; 8P+16E/24L no SMT","Intel ARL; Radeon AI PRO R9700","x86_64 RAM and Full Mixed Confirmation","RAM stress-ng Verification Metrics","required","system RAM","system RAM","memory:stress_ng","stress_ng","1 VM","1 VM","N/A","N/A","80% pressure and durable metrics","memory median/max 82.27/82.44 GiB; 200744933 bogo","80539025408","80539025408","80539025408 command target","100% assigned","--verify --metrics-brief","1 stressor; 200744933 bogo","0","600","605.56","pass","VALIDATED","Durable final metrics; external USB UAS resets did not affect verification","High","No","results/2026-08-14_10-00-31_x86_64 RAM and Full Mixed Confirmation/{run_manifest.json,worker_results/x86_ram_full_stress_ng_memory.json,advanced_debug/}"
"Core Ultra 9 285K tower","Intel Core Ultra 9 285K; 8P+16E/24L no SMT","Intel ARL; Radeon AI PRO R9700","x86_64 RAM and Full Mixed Confirmation","RAM Python Continuous Integrity","required","system RAM","system RAM","memory:python_fallback","python_fallback","1","1","N/A","N/A","80% retained integrity","memory median/max 82.22/82.29 GiB; 301 chunks","80539025408","80539025408","80539025408","100% assigned","continuous retained-set verification/rewrite","127","0","600","671.48 stage finalization","pass","VALIDATED","Large-set finalization extended cleanly; no forced kill or mismatch","High","No","results/2026-08-14_10-00-31_x86_64 RAM and Full Mixed Confirmation/{run_manifest.json,worker_results/x86_ram_full_python_memory.json}"
"Core Ultra 9 285K tower","Intel Core Ultra 9 285K; 8P+16E/24L no SMT","Intel ARL; Radeon AI PRO R9700","x86_64 RAM and Full Mixed Confirmation","Full CPU RAM Integrated and Discrete GPU Confirmation","required","CPUs 0-23 + RAM + both GPUs stateful","CPUs 0-23; RAM; Intel 0000:00:02.0; R9700 0000:04:00.0","native CPU+RAM; fused Vulkan stateful","native CPU+RAM; 2 python_vulkan_compute","4; 24 CPU threads","4; 24/24","auto","avx2 / avx2_fma","full CPU saturation; resolved RAM/shared; R9700 dedicated; overlap","CPU med/p10/min 100/100/100; lowest 100; memory 92.68 GiB; R9700 busy 85/84%; overlap >=580.82 s","RAM 70471647232; Intel 52853735424; R9700 23946120396","RAM 52481743469; Intel 39337706899; R9700 23946120396","RAM 52481744896; Intel 39337710592; R9700 23946124288","100% assigned","CPU canary; RAM patterns; GPU readback","CPU 11144363; RAM 3970; GPUs 80+2140","0","600","580.82","warning","VALIDATED WITH EXPLAINED WARNING","Min MemAvailable 918364160 caused safety warning; no emergency; all verification clean","High","No","results/2026-08-14_10-00-31_x86_64 RAM and Full Mixed Confirmation/{run_manifest.json,raw_telemetry.csv,worker_results/}"
"Ryzen 5 8600G tower","AMD Ryzen 5 8600G; 6P/12L SMT","Radeon 760M; RX 550; T1000; RTX PRO 6000","x86_64 APU Multi-dGPU Remediation","RAM Python Continuous Integrity","required","system RAM","system RAM","memory:python_fallback","python_fallback","1","1","N/A","N/A","80% intent and safe retained integrity","memory median/max 28.92/29.11 GiB; min MemAvailable 1.378 GB","26110319001","25313873920","25313873920","100% assigned; 96.95% requested","continuous retained-set verify/rewrite","408","0","600","601.70","pass","VALIDATED","Safe launch rebalance only; no guard trigger","High","No","results/2026-08-14_10-02-41_x86_64 APU Multi-dGPU Remediation/{run_manifest.json,worker_results/x86_apu_multi_python_memory.json}"
"Ryzen 5 8600G tower","AMD Ryzen 5 8600G; 6P/12L SMT","Radeon 760M; RX 550; T1000; RTX PRO 6000","x86_64 APU Multi-dGPU Remediation","Integrated GPU Vulkan Transfer","required","integrated_all: Radeon 760M","RADV PHOENIX 0000:08:00.0","Vulkan transfer/readback","python_vulkan_transfer","1","1","N/A","N/A","device/staging copies and readback","busy 62/61%; 176617 frames","device 50331648 + staging 50331648","same","100663296","100% assigned","transfer submission/barriers/readback","58873","0","600","599.113","pass","VALIDATED","Transfer diagnostic; correct physical routing","High","No","results/2026-08-14_10-02-41_x86_64 APU Multi-dGPU Remediation/{run_manifest.json,worker_results/x86_apu_multi_igpu_transfer_gpu_3d_1.json}"
"Ryzen 5 8600G tower","AMD Ryzen 5 8600G; 6P/12L SMT","Radeon 760M; RX 550; T1000; RTX PRO 6000","x86_64 APU Multi-dGPU Remediation","Integrated GPU Vulkan Stateful Shared Memory","required","integrated_all: 760M shared heap","RADV PHOENIX 0000:08:00.0 heap 1","Vulkan stateful_memory 80%","python_vulkan_compute","1","1","N/A","N/A","80% compatible shared heap; sustained verified pressure","busy med/p10 98/97%; 9 buffers","8989769728","8989769728","8989773824","100% assigned","compute/readback every buffer","817","0","600","599.94","pass","VALIDATED","512 MiB carved-out report not used as total cap","High","No","results/2026-08-14_10-02-41_x86_64 APU Multi-dGPU Remediation/{run_manifest.json,worker_results/x86_apu_multi_igpu_stateful_gpu_3d_1.json}"
"Ryzen 5 8600G tower","AMD Ryzen 5 8600G; 6P/12L SMT","Radeon 760M; RX 550; T1000; RTX PRO 6000","x86_64 APU Multi-dGPU Remediation","All Discrete GPUs Vulkan Transfer","required","discrete_all: RTX PRO + RX 550 + T1000","0000:01:00.0 + 0000:04:00.0 + 0000:05:00.0","Vulkan transfer/readback each","3 python_vulkan_transfer","3","3","N/A","N/A","simultaneous transfers/readbacks on every dGPU","busy medians 95/100/98%; durations >=599.03 s","device targets 402653184;150994944;201326592 plus equal staging","same","total 805306368;301989888;402653184","100% assigned","per-device transfer/readback","6575;841;2452","0","600","599.03","pass","VALIDATED","RX 550 included; no small-dGPU exclusion","High","No","results/2026-08-14_10-02-41_x86_64 APU Multi-dGPU Remediation/{run_manifest.json,telemetry_source_map.json,worker_results/x86_apu_multi_dgpu_transfer_*}"
"Ryzen 5 8600G tower","AMD Ryzen 5 8600G; 6P/12L SMT","Radeon 760M; RX 550; T1000; RTX PRO 6000","x86_64 APU Multi-dGPU Remediation","All Discrete GPUs Vulkan Stateful Dedicated Memory","required","all three dGPUs at 90% intent/safe cap","RTX PRO; RX 550; T1000","Vulkan stateful_memory","3 python_vulkan_compute","3","3","N/A","N/A","dedicated allocation and verified pressure","busy medians 98/100/96%; memory busy 97/24/94%; max temp 86/83/88 C","92377759744;805306368;7730937856","same","92377763840;805310464;7730941952","100% assigned","compute/readback each retained allocation","1478;2481;1625","0","600","598.31+","warning","VALIDATED WITH EXPLAINED WARNING","Truthful RTX PRO/T1000 thermal-zone warning; zero verification loss","High","No","results/2026-08-14_10-02-41_x86_64 APU Multi-dGPU Remediation/{run_manifest.json,raw_telemetry.csv,worker_results/x86_apu_multi_dgpu_stateful_*}"
"Ryzen 5 8600G tower","AMD Ryzen 5 8600G; 6P/12L SMT","Radeon 760M; RX 550; T1000; RTX PRO 6000","x86_64 APU Multi-dGPU Remediation","Combined RAM and Integrated Shared GPU Memory","required","RAM + 760M shared stateful","RAM + 0000:08:00.0","native RAM + Vulkan stateful","memory_native_helper + python_vulkan_compute","2; 12 RAM threads","2; 12","auto","native auto","resolved shared pool with concurrent verification","CPU telem med/p10/min 100/100/100; memory 28.84 GiB; 760M busy 97/96%; overlap >=598.51 s","RAM 22846529126; shared 7866048511","RAM 18597597296; shared 6396067728","RAM 18597601280; shared 6396070912","100% assigned","RAM patterns + GPU readback","RAM 3791; GPU 704","0","600","598.51","pass","VALIDATED","Unified plan followed","High","No","results/2026-08-14_10-02-41_x86_64 APU Multi-dGPU Remediation/{run_manifest.json,worker_results/x86_apu_multi_ram_igpu_*}"
"Ryzen 5 8600G tower","AMD Ryzen 5 8600G; 6P/12L SMT","Radeon 760M; RX 550; T1000; RTX PRO 6000","x86_64 APU Multi-dGPU Remediation","Combined RAM and All Discrete GPU Memory","required","RAM + RTX PRO + RX 550 + T1000","all intended participants","native RAM + Vulkan stateful","memory_native_helper + 3 python_vulkan_compute","4; 12 RAM threads","4; 12","auto","native auto","80% RAM intent + 90% dGPU memory; concurrent","CPU telem 100%; memory 29.47 GiB; dGPU busy 98/100/90%; min MemAvailable 924585984","RAM 26110319001; dGPU 92377763020;805306368;7730941132","RAM 25642704896; dGPU same","RAM 25642704896;92377766912;805310464;7730945024","100% assigned","RAM patterns + GPU readback","RAM 6596; GPUs 1170+2378+1562","0","600","594.09+","warning","VALIDATED WITH EXPLAINED WARNING","Safety warning plus T1000 87 C; no emergency; RX 550 included","High","No","results/2026-08-14_10-02-41_x86_64 APU Multi-dGPU Remediation/{run_manifest.json,worker_results/x86_apu_multi_ram_dgpu_*}"
"Ryzen 5 8600G tower","AMD Ryzen 5 8600G; 6P/12L SMT","Radeon 760M; RX 550; T1000; RTX PRO 6000","x86_64 APU Multi-dGPU Remediation","Combined RAM and All GPU Memory","required","RAM + shared 760M + all three dGPUs","all intended participants","native RAM + Vulkan stateful all","memory_native_helper + 4 python_vulkan_compute","5; 12 RAM threads","5; 12","auto","native auto","70% RAM/shared/dGPU intent resolved concurrently","CPU 100%; memory 29.49 GiB; min MemAvailable 914649088; overlap >=594.69 s","RAM 22846529126; shared 7866048511; dGPU 71849371238;751619276;6012954214","RAM 19395193962; shared 6672008086; dGPU unchanged","RAM 19395194880; shared 6672011264; dGPU 71849374720;751623168;6012957696","100% assigned","RAM patterns + per-GPU readback","RAM 3624; GPUs 1034+2223+674+1676","0","600","594.69+","warning","VALIDATED WITH EXPLAINED WARNING","Safety warning plus T1000 85 C; no emergency","High","No","results/2026-08-14_10-02-41_x86_64 APU Multi-dGPU Remediation/{run_manifest.json,worker_results/x86_apu_multi_ram_all_*}"
"Ryzen 5 8600G tower","AMD Ryzen 5 8600G; 6P/12L SMT","Radeon 760M; RX 550; T1000; RTX PRO 6000","x86_64 APU Multi-dGPU Remediation","Full CPU RAM and All-GPU Mixed Load","required","all CPUs + RAM + 760M shared stateful + all dGPUs stateful","CPUs/RAM; 760M compute-only 50335744; all dGPUs stateful","native CPU+RAM; fused Vulkan stateful all","native CPU+RAM; 760M stress_hash; 3 dGPU stateful","6 expected after fusion with every GPU stateful","6; integrated wrong variant/allocation","auto","avx512 / avx512_int","full simultaneous CPU/RAM/all-GPU compute+memory pressure","CPU med/p10/min 100/100/100; RAM 22846529536/3706 passes; all dGPUs verified; overlap >=593.62 s","RAM 22846529126; 760M stateful 7866048511; dGPU 71849371238;751619276;6012954214","RAM 22846529126; 760M compute 50331648; dGPU unchanged","RAM 22846529536;760M 50335744;dGPU 71849374720;751623168;6012957696","760M only 0.64% of stateful intent","CPU canary; RAM patterns; GPU compute/readback","CPU 5807045; RAM 3706; GPUs 4383+1294+2464+1939","0","600","593.62+","warning","PARTIALLY EXECUTED, NOT VALIDATED","Legacy carved-out VRAM skip omitted AMD integrated stateful worker; thermal warning accurate but stage incomplete","High","Yes: one 600 s minimal full stage","results/2026-08-14_10-02-41_x86_64 APU Multi-dGPU Remediation/{run_manifest.json,worker_results/x86_apu_multi_full_*}"
"Core i9-14900 tower","Intel Core i9-14900; 8P+16E/32L","Intel RPL-S; RTX 5090","x86_64 RAM and Full Mixed Confirmation","RAM stress-ng Verification Metrics","required","system RAM","system RAM","memory:stress_ng","stress_ng","1 VM","1 VM","N/A","N/A","80% pressure and durable verified metrics","memory median/max 55.95/56.13 GiB; 172716349 bogo","53616207462","53616207462","53616207462 command target","100% assigned","--verify --metrics-brief","1 stressor; 172716349 bogo","0","600","606.50","pass","VALIDATED","Final metrics preserved; no AER during this stage","High","No","results/2026-08-14_10-04-38_x86_64 RAM and Full Mixed Confirmation/{run_manifest.json,worker_results/x86_ram_full_stress_ng_memory.json}"
"Core i9-14900 tower","Intel Core i9-14900; 8P+16E/32L","Intel RPL-S; RTX 5090","x86_64 RAM and Full Mixed Confirmation","RAM Python Continuous Integrity","required","system RAM","system RAM","memory:python_fallback","python_fallback","1","1","N/A","N/A","80% retained integrity","memory median/max 55.94/56.03 GiB; 200 chunks","53616207462","53616207462","53616207462","100% assigned","continuous retained-set verify/rewrite","112","0","600","601.872","pass","VALIDATED","No mismatch/MemoryError/guard event; no AER during stage","High","No","results/2026-08-14_10-04-38_x86_64 RAM and Full Mixed Confirmation/{run_manifest.json,worker_results/x86_ram_full_python_memory.json}"
"Core i9-14900 tower","Intel Core i9-14900; 8P+16E/32L","Intel RPL-S; RTX 5090","x86_64 RAM and Full Mixed Confirmation","Full CPU RAM Integrated and Discrete GPU Confirmation","required","CPUs 0-31 + RAM + both GPUs stateful","all intended workload participants","native CPU+RAM; fused Vulkan stateful","native CPU+RAM; 2 python_vulkan_compute","4; 32 CPU threads","4; 32/32","auto","avx2 / avx2_fma","full saturation/pressure with native RAM confirmation","CPU med/p10/min 100/100/100; lowest CPU median 100; memory median 61.34 GiB; overlap >=578.875 s","RAM 46914181529; Intel shared 35185636147; RTX 23933642342","RAM 34043151155; Intel 25506974925; RTX 23933642342","RAM 34043154432; Intel 25506978816; RTX 23933645824","100% assigned","CPU canary; RAM mix64/inverted/walking/address; GPU readback","CPU 4866114; RAM 10582; GPUs 101+2643","0","600","578.875","fail","VALIDATED WITH EXPLAINED WARNING","Workload clean and prior RAM mismatch closed; saved FAIL solely known external correctable AER; guard warning no emergency","High","No","results/2026-08-14_10-04-38_x86_64 RAM and Full Mixed Confirmation/{run_manifest.json,raw_telemetry.csv,worker_results/,advanced_debug/stage_x86_ram_full_mixed_journalctl_kernel_filtered.txt}"
"Core i9-14900 tower","Intel Core i9-14900; 8P+16E/32L","RTX 5090 0000:01:00.0 in known bad motherboard slot","x86_64 RAM and Full Mixed Confirmation","Known external PCIe slot AER condition","external finding","preserve AER trail","46 parsed correctable Physical Layer Receiver ID events from 10:25:54-10:35:22","kernel PCIe AER","kernel PCIe AER","N/A","N/A","N/A","N/A","evidence preservation only","46 correctable AER events; no device loss/reset/worker error","N/A","N/A","N/A","N/A","kernel journal capture and parser classification","46 events","N/A","N/A","full-stage interval","fail contribution","EXTERNAL KNOWN HARDWARE ISSUE / EXCLUDED","KNOWN EXTERNAL PCIe SLOT AER CONDITION — EXCLUDED FROM LVS ACCEPTANCE VERDICT","High","No LVS rerun/fix","results/2026-08-14_10-04-38_x86_64 RAM and Full Mixed Confirmation/{run_manifest.json,advanced_debug/run_journalctl_kernel_filtered.txt,advanced_debug/stage_x86_ram_full_mixed_journalctl_kernel_filtered.txt}"
"Ryzen 7 5700G tower","AMD Ryzen 7 5700G; 8P/16L SMT","Radeon Renoir 0000:07:00.0; RTX 5090 0000:01:00.0","x86_64 APU Full Mixed Stateful Confirmation","Full CPU RAM and All-GPU Stateful Mixed Confirmation","required","CPUs 0-15 + RAM + Renoir fused shared stateful + RTX stateful","all intended participants; Renoir and RTX physical slots verified","native CPU+RAM; fused Vulkan stateful all GPUs","native CPU+RAM; 2 python_vulkan_compute stateful","4 processes; 16 CPU and 16 RAM threads","4 processes; 16/16 CPU and 16 RAM threads","auto","sse / sse2_int","full simultaneous CPU/RAM/shared/dedicated pressure","542.441 s trimmed overlap; CPU med/p10/min 100/100/100; lowest CPU median 100; RAM used median 29.16 GiB; Renoir busy med/p10 96.5/93%; RTX 22.38 GiB retained","RAM 23080684748; Renoir 7944102297; RTX 23933642342","RAM 20120839587; Renoir 6920481373; RTX 23933642342","RAM 20120842240; Renoir 6920484864; RTX 23933645824","RAM 100.000% assigned/87.176% requested; Renoir 100.000%/87.115%; RTX 100.000%","CPU canary; native RAM four-pattern integrity; Vulkan compute/full-buffer readback","CPU 8096016; RAM 3308; Renoir 316; RTX 2172","0","600","542.441 steady overlap; stage 602.441","pass","VALIDATED","Supersedes prior partial 5700G full row; fused Renoir worker retained 7 buffers on 11348717568-byte heap; no guard warning or instability","High","No","results/2026-08-14_12-58-08_x86_64 APU Full Mixed Stateful Confirmation/{run_manifest.json,raw_telemetry.csv,telemetry_source_map.json,parsed_results_extended.json,worker_results/,advanced_debug/}"
